market,manual_campaign_name,sessions_total,spend_budget,matched_campaign_strings,match_strategy,match_score
DE,FR_FRE_SR-E_GO_AC_AWOP_PE_PMAXSH__NU_NU_AWO,1.0,53402627.608792305,10208510_10208510_POR_AFS_BRD_CAN_T1_NU_CAD_2025-01-20_2025-12-28_LOCAL-2025AFTERSALESSEM | 10210249_10210249_POR_MAC_SUV_CAN_T1_NU_CAD_2025-03-03_2025-07-31_MACANH2I-2025PORSCHEMACAN | 10207178_10207178_POR_AFS_BRD_CAN_T1_NU_CAD_2025-01-01_2025-02-28_LOCAL-AFTERSALESPRINT | 10208503_10208503_POR_RNG_RNG_CAN_T1_NU_CAD_2025-01-20_2025-12-28_LOCAL-CERTIFIEDPREOWNED | 10208494_10208494_POR_POB_BRD_CAN_T1_NU_CAD_2025-01-20_2025-12-28_LOCAL-CORPORATESEARCH,id,1.0
DE,IT_ITA_SR-E_GO_AC_AWOP_PE_PMAXSH__NU_NU_AWO,1.0,56370473.60867631,10364251_10364251_POR_CAY_SUV_ITA_T1_NU_EUR_2025-07-17_2025-12-28_CAYENNEE3II-2025PORSCHECAYENNEBLACKEDITION | 10418107_10418107_POR_CAY_SUV_ITA_T1_NU_EUR_2025-09-18_2025-11-16_CAYENNEE4I-CAYENNEE4 | 10163716_10163716_POR_FIN_BRD_ITA_T1_NU_EUR_2025-01-01_2025-12-28_LOCAL-DRIVE2025 | 10163714_10163714_POR_MAC_SUV_ITA_T1_NU_EUR_2025-01-01_2025-12-28_LOCAL-MACANBEV | 10163713_10163713_POR_MAC_SUV_ITA_T1_NU_EUR_2025-01-01_2025-12-28_LOCAL-MACANBEVCITYLIFE,id,1.0
DE,MERGE_DE_GER_SR-E_BI_AC_AWOP_PE_SN_BraKoLuggage_NU_NU_AWO,1.0,53402627.608792305,10208510_10208510_POR_AFS_BRD_CAN_T1_NU_CAD_2025-01-20_2025-12-28_LOCAL-2025AFTERSALESSEM | 10210249_10210249_POR_MAC_SUV_CAN_T1_NU_CAD_2025-03-03_2025-07-31_MACANH2I-2025PORSCHEMACAN | 10207178_10207178_POR_AFS_BRD_CAN_T1_NU_CAD_2025-01-01_2025-02-28_LOCAL-AFTERSALESPRINT | 10208503_10208503_POR_RNG_RNG_CAN_T1_NU_CAD_2025-01-20_2025-12-28_LOCAL-CERTIFIEDPREOWNED | 10208494_10208494_POR_POB_BRD_CAN_T1_NU_CAD_2025-01-20_2025-12-28_LOCAL-CORPORATESEARCH,id,1.0
DE,PORSCHE-ONG-FINDER-PR-TXT-BR-cayenne,1.0,,,,
DE,PORSCHE-VO-APPROVED-NEW,1.0,,,,
DE,PZ_Aachen,1.0,,,,
DE,PZ_Gilching-Argelsried,1.0,,,,
DE,PZ_Göppingen,1.0,,,,
DE,PZ_Hamburg,1.0,,,,
DE,PZ_Hofheim/Taunus,1.0,,,,
DE,PZ_Weingarten,1.0,,,,
DE,_seafinder_,1.0,,,,
GB,(not set),75.0,,,,
GB,_model-taycan_,57.0,,,,
GB,_brand-only_,53.0,,,,
GB,_brand_,38.0,,,,
GB,_model-cayenne_,23.0,,,,
GB,UK_ENG_SR-E_GO_AC_AWOP_PE_PMAXSH__NU_NU_AWO,21.0,53402627.608792305,10208510_10208510_POR_AFS_BRD_CAN_T1_NU_CAD_2025-01-20_2025-12-28_LOCAL-2025AFTERSALESSEM | 10210249_10210249_POR_MAC_SUV_CAN_T1_NU_CAD_2025-03-03_2025-07-31_MACANH2I-2025PORSCHEMACAN | 10207178_10207178_POR_AFS_BRD_CAN_T1_NU_CAD_2025-01-01_2025-02-28_LOCAL-AFTERSALESPRINT | 10208503_10208503_POR_RNG_RNG_CAN_T1_NU_CAD_2025-01-20_2025-12-28_LOCAL-CERTIFIEDPREOWNED | 10208494_10208494_POR_POB_BRD_CAN_T1_NU_CAD_2025-01-20_2025-12-28_LOCAL-CORPORATESEARCH,id,1.0
GB,_brandocs_,12.0,,,,
