market,market_name,campaign_name,week,model,conv,spend
PD,Germany,20056448_BR_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_NU_KT_NU_NU_DE_NU_BRAD_20131671_PORSCHESEAAO2026_MODELLPANAMERA_DE_41313730,2025-02,panamera,0.0,346.34
PD,Germany,20056448_BR_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_NU_KT_NU_NU_DE_NU_BRAD_20131671_PORSCHESEAAO2026_MODELLPANAMERA_DE_41313730,2025-03,panamera,0.0,360.45
PD,Germany,20056448_BR_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_NU_KT_NU_NU_DE_NU_BRAD_20131671_PORSCHESEAAO2026_MODELLPANAMERA_DE_41313730,2025-04,panamera,2.0,342.72
PD,Germany,20056448_BR_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_NU_KT_NU_NU_DE_NU_BRAD_20131671_PORSCHESEAAO2026_MODELLPANAMERA_DE_41313730,2025-05,panamera,0.0,327.65
PD,Germany,20056448_BR_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_NU_KT_NU_NU_DE_NU_BRAD_20131671_PORSCHESEAAO2026_MODELLPANAMERA_DE_41313730,2025-07,panamera,1.0,365.07
PD,Germany,20056448_BR_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_NU_KT_NU_NU_DE_NU_BRAD_20131671_PORSCHESEAAO2026_MODELLPANAMERA_DE_41313730,2025-09,panamera,1.0,335.67
PD,Germany,20056448_BR_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_NU_KT_NU_NU_DE_NU_BRAD_20131671_PORSCHESEAAO2026_MODELLPANAMERA_DE_41313730,2025-10,panamera,1.0,365.01
PD,Germany,20056448_BR_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_NU_KT_NU_NU_DE_NU_BRAD_20131671_PORSCHESEAAO2026_MODELLPANAMERA_DE_41313730,2025-11,panamera,1.0,350.94
PD,Germany,20056448_BR_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_NU_KT_NU_NU_DE_NU_BRAD_20131671_PORSCHESEAAO2026_MODELLPANAMERA_DE_41313730,2025-12,panamera,2.0,356.77
PD,Germany,20056448_BR_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_NU_KT_NU_NU_DE_NU_BRAD_20131671_PORSCHESEAAO2026_MODELLPANAMERA_DE_41313730,2025-14,panamera,1.0,352.99
