market,model,channel,week,icc_dcfs,model_dcfs,finder_dcfs,dcfs,spend
FRANCE,taycan,Paid Search,2025-34,4.09,nan,nan,4.09,448.23
FRANCE,macan,Paid Search,2025-34,12.07,nan,nan,12.07,453.97
FRANCE,none,Paid Search,2025-34,nan,nan,nan,nan,30.68
FRANCE,911,Paid Search,2025-34,0.06,nan,nan,0.06,278.01
FRANCE,panamera,Paid Search,2025-34,1.0,nan,nan,1.0,209.33
FRANCE,cayenne,Paid Search,2025-34,1.36,nan,nan,1.36,224.13
FRANCE,718,Paid Search,2025-34,0.98,nan,nan,0.98,177.36
FRANCE,taycan,Paid Search,2025-35,4.25,nan,nan,4.25,595.15
FRANCE,macan,Paid Search,2025-35,4.12,nan,nan,4.12,593.65
FRANCE,cayenne,Paid Search,2025-35,0.09,nan,nan,0.09,140.04
FRANCE,none,Paid Search,2025-35,nan,nan,nan,nan,19.75
FRANCE,911,Paid Search,2025-35,nan,nan,nan,nan,150.43
FRANCE,panamera,Paid Search,2025-35,1.0,nan,nan,1.0,140.1
FRANCE,718,Paid Search,2025-35,nan,nan,nan,nan,158.38
FRANCE,taycan,Paid Search,2025-36,21.67,nan,nan,21.67,908.36
FRANCE,macan,Paid Search,2025-36,15.33,nan,nan,15.33,900.06
FRANCE,cayenne,Paid Search,2025-36,4.5,nan,nan,4.5,251.22
FRANCE,none,Paid Search,2025-36,nan,nan,nan,nan,19.84
FRANCE,911,Paid Search,2025-36,nan,nan,nan,nan,180.38
FRANCE,panamera,Paid Search,2025-36,1.0,nan,nan,1.0,231.75
FRANCE,718,Paid Search,2025-36,nan,nan,nan,nan,260.06
FRANCE,cayenne,Paid Search,2025-37,13.51,nan,nan,13.51,546.9
FRANCE,macan,Paid Search,2025-37,16.66,nan,nan,16.66,1072.27
FRANCE,taycan,Paid Search,2025-37,9.2,nan,nan,9.2,1053.95
FRANCE,none,Paid Search,2025-37,nan,nan,nan,nan,37.84
FRANCE,911,Paid Search,2025-37,3.67,nan,nan,3.67,168.87
FRANCE,panamera,Paid Search,2025-37,1.52,nan,nan,1.52,538.9
FRANCE,718,Paid Search,2025-37,nan,nan,nan,nan,420.39
FRANCE,cayenne,Paid Search,2025-38,3.0,nan,nan,3.0,532.15
FRANCE,macan,Paid Search,2025-38,8.7,nan,nan,8.7,1004.68
FRANCE,taycan,Paid Search,2025-38,12.74,nan,nan,12.74,1077.16
FRANCE,none,Paid Search,2025-38,nan,nan,nan,nan,44.75
FRANCE,911,Paid Search,2025-38,nan,nan,nan,nan,135.68
FRANCE,panamera,Paid Search,2025-38,0.18,nan,nan,0.18,544.69
FRANCE,718,Paid Search,2025-38,nan,nan,nan,nan,207.38
FRANCE,cayenne,Paid Search,2025-39,1.52,nan,nan,1.52,509.67
FRANCE,macan,Paid Search,2025-39,6.1,nan,nan,6.1,987.75
FRANCE,taycan,Paid Search,2025-39,11.93,nan,nan,11.93,913.77
FRANCE,none,Paid Search,2025-39,0.5,nan,nan,0.5,41.14
FRANCE,911,Paid Search,2025-39,4.5,nan,nan,4.5,108.85
FRANCE,panamera,Paid Search,2025-39,2.23,nan,nan,2.23,498.55
FRANCE,718,Paid Search,2025-39,nan,nan,nan,nan,99.52
FRANCE,cayenne,Paid Search,2025-40,2.0,nan,nan,2.0,380.99
FRANCE,macan,Paid Search,2025-40,7.59,nan,nan,7.59,770.69
FRANCE,taycan,Paid Search,2025-40,8.16,nan,nan,8.16,703.52
FRANCE,none,Paid Search,2025-40,nan,nan,nan,nan,47.38
FRANCE,911,Paid Search,2025-40,1.0,nan,nan,1.0,88.81
FRANCE,panamera,Paid Search,2025-40,3.0,nan,nan,3.0,380.11
FRANCE,718,Paid Search,2025-40,nan,nan,nan,nan,84.0
FRANCE,cayenne,Paid Search,2025-41,0.0,nan,nan,0.0,367.72
FRANCE,macan,Paid Search,2025-41,10.0,nan,nan,10.0,747.01
FRANCE,taycan,Paid Search,2025-41,17.65,nan,nan,17.65,705.31
FRANCE,none,Paid Search,2025-41,nan,nan,nan,nan,31.95
FRANCE,911,Paid Search,2025-41,0.12,nan,nan,0.12,240.22
FRANCE,panamera,Paid Search,2025-41,3.02,nan,nan,3.02,498.68
FRANCE,718,Paid Search,2025-41,nan,nan,nan,nan,199.48
FRANCE,cayenne,Paid Search,2025-42,1.0,nan,nan,1.0,387.38
FRANCE,macan,Paid Search,2025-42,11.5,nan,nan,11.5,736.24
FRANCE,taycan,Paid Search,2025-42,14.67,nan,nan,14.67,680.36
FRANCE,none,Paid Search,2025-42,nan,nan,nan,nan,27.02
FRANCE,911,Paid Search,2025-42,4.29,nan,nan,4.29,248.08
FRANCE,panamera,Paid Search,2025-42,1.02,nan,nan,1.02,486.83
FRANCE,718,Paid Search,2025-42,nan,nan,nan,nan,287.02
FRANCE,cayenne,Paid Search,2025-43,0.01,nan,nan,0.01,333.94
FRANCE,macan,Paid Search,2025-43,9.629999999999999,nan,nan,9.629999999999999,712.83
FRANCE,taycan,Paid Search,2025-43,7.59,nan,nan,7.59,659.76
FRANCE,none,Paid Search,2025-43,nan,nan,nan,nan,56.35
FRANCE,911,Paid Search,2025-43,2.67,nan,nan,2.67,246.58
FRANCE,panamera,Paid Search,2025-43,0.93,nan,nan,0.93,498.07
FRANCE,718,Paid Search,2025-43,nan,nan,nan,nan,277.23
FRANCE,cayenne,Paid Search,2025-44,2.19,nan,nan,2.19,344.69
FRANCE,macan,Paid Search,2025-44,19.060000000000002,nan,nan,19.060000000000002,685.86
FRANCE,taycan,Paid Search,2025-44,10.059999999999999,nan,nan,10.059999999999999,650.16
FRANCE,none,Paid Search,2025-44,nan,nan,nan,nan,41.08
FRANCE,911,Paid Search,2025-44,2.0,nan,nan,2.0,224.06
FRANCE,panamera,Paid Search,2025-44,1.0,nan,nan,1.0,474.58
FRANCE,718,Paid Search,2025-44,nan,nan,nan,nan,280.43
FRANCE,cayenne,Paid Search,2025-45,0.0,nan,nan,0.0,332.87
FRANCE,macan,Paid Search,2025-45,10.08,nan,nan,10.08,867.06
FRANCE,taycan,Paid Search,2025-45,12.73,nan,nan,12.73,823.61
FRANCE,none,Paid Search,2025-45,nan,nan,nan,nan,57.75
FRANCE,911,Paid Search,2025-45,0.0,nan,nan,0.0,217.69
FRANCE,panamera,Paid Search,2025-45,1.0,nan,nan,1.0,438.66
FRANCE,718,Paid Search,2025-45,nan,nan,nan,nan,237.85
